Weight,Quantity
141.12,4176
2104.15,1590
233.94,1015
1249.47,2008
2278.67,3894
2520.39,1477
4710.03,1077
1004,4493
2950.96,9803
1077.08,9744
4305.98,7720
2845.2,6062
1117.5,5539
2202.74,3974
4866.49,1293
2285.8,6552
1082.6,6055
920.45,2824
4870.54,3662
3176.53,7462
1721.75,3403
2399.02,137
3819.04,2774
3321.75,8876
3215.43,3310
1590.9,9552
4964.21,508
21.91,9487
644.46,3151
544.05,8227
2929.06,4872
1864.76,2895
1449.65,4862
906.84,2419
4155.65,8389
1414.49,7237
1184.55,3320
1675.17,8980
1033.07,3612
4077.82,5986
3001.07,766
1627.61,5691
2712.89,8483
633.2,8838
969.81,4249
4821.32,2920
2271.86,6806
2990.11,3523
1810.95,5497
1457.77,4638
729.05,1331
4809.41,1038
332.97,4710
2228.51,9922
2791.28,9558
1685,1690
4872.76,5399
830.35,103
3178.75,481
3565.85,7598
3092.28,851
593.83,7700
628.76,895
1574.95,4702
4602.88,9038
4667.46,4332
2761.64,2160
4836.56,5295
958.26,3418
4926.66,917
761.87,7052
205.4,6884
3297.79,1094
4252,3357
1002.37,4193
3654.18,9023
569.31,4896
3896.27,3744
314.05,1357
81.69,9396
3195.63,8849
2010.01,2444
695.35,8857
2627.69,2597
1686.73,7680
104.52,3621
2844.59,9278
4703.54,826
582.74,6846
228.69,1961
584.99,176
2263.66,811
1119.98,3122
1058.08,5712
2389.09,2628
2347.61,5406
2917.14,8238
375.46,3542
494.6,6990
4979.14,3656
4801.99,2609
4556.59,3295
1131.73,5105
426.82,7707
1849.5,9913
3302.59,588
1298.07,7879
1200.89,775
2505.51,3104
2038.88,6534
1857.75,6888
1734.93,1508
613.74,1484
317.52,8885
4868.62,4217
546.39,665
1004.3,293
1811.88,7022
2840.54,2741
3450.08,902
4878.33,8273
2721.28,9885
1828.22,7750
3978.43,5605
3471.49,8105
3816.26,5259
1242.81,2079
1944.97,7737
1774.99,7043
708.47,225
4301,1489
3618.41,2263
2793.24,9024
1513.9,5484
4231.41,2480
2408.83,3509
756.1,7920
1539.18,1180
794.12,5953
4073.16,84
1528.79,7276
3877.31,6333
3963.6,9949
597.01,7277
547.39,7597
297.89,3212
2687.41,6356
3587.94,9490
442.52,3819
4998.73,2898
3577.74,648
3837.8,5580
4008.91,1797
1849.46,2636
4525.32,4504
1247.45,736
4741.13,1431
3541.75,2638
3262.88,477
4109,7873
3183.09,3250
1544.5,9930
4166.24,9191
3145.24,4924
3275.19,6560
522.4,7873
2527.38,5104
4630.39,8890
1196.86,3831
3430.55,6556
2955.98,1478
1442.5,5626
4110.06,653
890.65,6704
3060.81,7711
1393.04,8635
4172.58,491
447.33,8598
970.18,8287
2758.5,5358
2274.34,2014
474.04,2927
170.16,3722
4396.6,8173
4331.54,5933
4653.41,9833
4763.08,9914
1560.93,9779
3788.86,6768
900.18,1567
2836.48,77
4661.66,3039
3272.58,2646
4382.29,8764
3407.65,6421
477.05,3570
2466.08,8467
4598.05,9713
4352.73,2788
4412.11,9172
4116.23,7649
4962.92,1286
2037.49,7869
3126.67,8019
4316.35,5086
2929.04,3598
773.58,18
4841.16,8067
816,4149
2984.32,1611
4667.99,2109
993.56,2259
1002.49,2864
3998.8,1242
4107.96,7828
1640.1,7675
4525.9,4722
2521.19,5100
1528.01,140
3448.75,9299
1129.26,6223
791.96,3322
4033.51,609
2656.23,1620
2775.62,8998
710.39,2229
4268.11,6175
536.56,3890
955.3,3614
2052.73,9728
3255.87,1264
1996.35,1079
4936.84,1398
2322.07,5621
2495.39,1717
1793.33,7808
3498.43,8720
3891.14,6276
1286.23,4367
2201.15,2651
595.3,1292
2821.18,7519
158.54,6470
577.53,4427
3027.99,8335
4631.87,259
3926.43,57
4480.66,3572
2586.23,3112
4550.42,9036
2133.99,5474
2263.13,526
984.23,5242
4735.28,7686
284.07,3426
3777.95,1894
632.74,2718
302.14,3225
4667.56,7735
2413.21,3188
800.24,4222
3080.93,1822
427.35,1379
4087.67,1228
2295.56,782
2625.97,2896
4937.3,8297
848.92,3312
3406.51,6276
355.36,3310
344.79,9363
4959.85,1802
4829.93,2030
1040.76,1439
1744.13,8767
2366.72,4934
4746.05,6445
285.19,2332
4893.22,1636
3680.24,3822
2947.14,5791
1040.21,8910
4448.7,5720
4915.01,6219
2492.02,8780
4636.68,6384
2164.04,281
3316.67,1067
2950.75,3026
580.15,6297
357.56,825
3626.3,2863
2025.69,7218
2153.48,8027
3144.15,1612
3845.08,5278
1000.53,2456
1184.15,1995
2240.3,5970
2195.9,3235
3988.44,4678
783.81,4866
988.44,1852
60.19,3642
2220.28,1531
1968.82,4906
197.69,9992
3474.11,8409
1230.21,279
2474.04,7961
1042.92,5760
4557.76,3905
1118.44,101
4934.37,2659
516.41,6912
4238.32,3355
3914.93,9730
1491.56,5711
1558.45,3036
4082.92,5637
1185.37,7679
4274.43,9536
3776.24,7184
1598.87,965
2816.56,4010
4755.39,5712
2789.39,1130
2600.47,3002
3269.34,1396
2280.43,6907
4649.51,295
932.54,5328
386.56,3852
804.72,5265
2627.11,3974
2139.01,282
2980.34,7612
4414.62,8289
939.39,4429
3152.7,7888
4441.86,9133
4241.64,4832
1722.38,5138
4754.66,532
235.55,9898
2703.8,743
2063.66,9044
4208.03,3149
4772.8,4472
559.93,4425
4385.08,5134
786.54,5525
3713.78,1114
3389.32,3310
625.13,84
3724.02,5380
4888.22,3293
4481.64,9406
2462.22,841
4641.51,5804
553.62,70
592.77,7107
3803.65,5283
939.83,8007
353.39,3361
4172.64,1327
4034.07,3045
1573.17,1181
2274.88,9180
1702.59,4402
1749.22,2259
3222.87,8919
2538.9,3342
360,6851
951.74,2605
2512.73,1370
840.55,8158
1572.33,4364
3630.13,7684
2060.63,2073
2310.23,7108
714.13,6710
2358.57,596
4546.93,1487
2908.61,7607
4300.18,624
4813.96,3951
1756.78,2357
500.96,8327
4319.44,7880
1667.05,7222
1408.95,3928
1024.79,6631
2085.33,8493
4311.35,9374
223.37,3136
3627.75,8298
4628.45,6519
991.28,3612
1073.05,5034
4400.2,8267
4224.59,5471
2082.83,2613
1626.74,234
814.83,6236
232.56,2700
4302.16,3781
1527.97,4415
4293.56,8759
1600.45,1340
3789.24,4756
932.09,9416
4810.86,9209
862.27,1322
4010.27,4475
2670.81,467
4215.3,7841
1729.31,7446
2964.62,4152
1420.31,9250
4312.58,9913
1888.8,6397
729.76,7025
2088.69,2850
1726.77,982
3242.22,3776
1265.72,9505
1713.67,6995
863.13,3410
2707.82,4759
1502.68,782
2712.55,736
3187.48,5578
547.99,6011
2170.5,2156
447.63,9902
4248.16,4345
3259.69,2771
1849.39,3292
1951.06,4449
529.56,4239
1801.77,7487
4578.99,5436
941.84,6678
2897.5,6736
288.59,4586
1018.5,2928
3178.83,8851
4190.11,6123
179.91,952
451.04,9761
3920.2,1157
1350.26,1870
1027.96,5871
4400.98,3203
3929.76,8191
270.6,8792
2384.38,7459
1204.59,1101
609.49,1087
2531.11,9886
4614.15,9555
2401.26,3254
3775.41,5629
2967.17,1393
1492.08,8967
1559.06,2240
4412.09,4515
1997.6,1308
1829.62,7496
4505.3,6043
4969.97,229
2805.43,543
257.36,3522
797.48,8033
877.62,2480
1365.32,8230
1631.16,3560
1009.17,1715
4198.29,7349
66.63,7546
1094.59,2986
2656.14,1314
4309.54,3667
1821.21,7210
2511.07,9981
1471.26,4739
3529.24,9347
1220.96,5543
220.18,7613
2899.93,1214
2423.34,9239
3347.36,6894
372.52,1842
3531.59,3187
2255.24,1620
3752.39,1786
3814.91,9992
4776.76,8660
897.54,368
4698.49,5708
3495.66,6908
4823.13,9349
2681.93,2703
2102.43,993
3750.87,7313
2548.17,428
4568.85,7411
3876.49,5751
1651.88,6701
137,5334
1805.96,1373
3433.84,6648
1797.73,4558
2545.57,4859
2877.66,7726
3359.84,9437
2041.72,5396
2525.51,9399
3948.55,8068
3592.89,8335
13.41,5677
2208.01,3114
3989.67,7057
4482.88,5780
1471.41,4583
3134.01,1331
1281.19,5208
1246.81,3355
218.99,2381
653.24,7362
3031.77,8230
2125,8681
803.31,1515
4193.33,9575
3262.19,4431
1593.98,3382
2051.67,9416
777,1417
3326.76,5178
2144.79,938
268.28,7252
286.57,5058
2868.26,3234
679.72,3619
3338.49,8193
4443.31,8968
554.86,5888
2418.49,4206
1985.2,7649
2587.76,3191
3585.66,7862
3178.59,1755
166.3,7054
1179.15,8731
406.32,5140
4859.09,4756
2909.54,2905
4895.02,8416
1010.66,2238
745.4,4424
3591.53,4265
1847.16,3011
156.01,1289
714.39,8870
3178.13,4309
4090.27,1065
56.04,6725
3556.38,9746
919.73,6124
3024.68,3921
4523.6,1526
4220.17,3791
4148.5,909
4777.1,1369
1929.19,688
4367.12,5697
2451.55,7428
4094.01,5613
3536.4,3170
2195.73,9494
4331.2,1783
4197.65,6100
3696.59,6942
2800.43,349
4704.53,7667
1738.9,2698
3776.05,7619
2162.6,9815
2440.8,7365
1856.28,6968
4477.2,5756
2281.74,7039
1545.64,2108
2002.57,2745
4098.27,5980
3284.09,6927
3192.11,659
4241.26,3987
1890.1,520
2672.94,3119
288.03,217
125.54,2061
3801.19,2237
2299.22,3387
3114.37,1789
719.91,3089
4208.43,9028
2910.39,7926
4511.42,3412
223.28,3911
4572.22,1149
3755.63,3587
4381.74,1538
2739.92,2803
548.74,1996
4079.67,7359
4000.09,585
3369.33,1160
168.47,6028
1332.72,3023
3942.77,4175
3602.01,4402
3026.9,9811
1405.57,6936
3254.07,8988
3454.11,1780
3435.51,6450
3504.93,1639
4334.92,5936
267.35,1820
4913.75,5309
689,5954
4432.7,7603
1125.04,7080
1243.49,4725
4772.71,2841
4723.66,4144
1993.74,694
762.67,7574
367.53,8303
2028.43,692
212.94,3602
380.95,1510
2251.51,1538
4783.61,8005
1554.03,9921
3567.9,5621
2373.4,7935
1796.25,7852
1163.48,6518
3209.13,8530
914.41,2102
1631.23,3734
2434.35,7517
2023.39,6159
3865.81,9851
1982.65,4641
340.02,9343
1398,6105
324.2,2680
1443.68,2449
1247.1,6236
1453.73,3734
4278.94,883
4846.67,2920
521.17,9631
4420.68,4504
1224.04,3736
489.36,6917
221.15,6245
4478.97,2394
4926.97,584
2803.46,5461
331.02,2806
91.81,6870
3063.84,9100
4641.5,3132
3516.4,5680
28.14,5909
1026.19,4155
1771.97,2986
698.49,4140
1387.88,1766
2302.74,974
4065.1,9650
4201.54,2928
3230.62,1977
2996.01,2908
3549.9,6046
2880.74,5318
3155.86,5722
3485.23,1272
554.21,7278
4242.6,51
1815.34,2457
485.05,9909
2653.16,9286
1694.01,7693
2028.54,5563
4917.38,9121
3096.82,3950
4932.21,7155
1571.91,2563
2736.57,7988
916.77,6897
1276.78,5872
4737.49,6543
1086.54,5397
4113.58,2969
2124.14,8477
2908.38,1967
4378.23,4959
138.99,5887
1095.59,3095
3389.06,2013
1877,3190
4121.55,2027
2780.01,3419
541.1,264
2237.26,354
1968.39,8935
948.65,4169
4077.79,8922
2251.56,7047
2576.29,1988
3604.12,8001
3605.26,1160
4056.6,1664
1003.78,6762
2375.35,51
3099.13,6130
3066.71,7680
2963.32,7527
4208.85,2651
167.45,2017
1249.28,4662
387.36,3113
2487.8,6989
1433.25,7262
4239.01,8983
4132.2,1224
1594.68,518
4171.2,9212
1192.06,7166
2108.6,9957
97.29,7321
1857.92,4992
3319.52,8960
3599.1,3809
1644.29,9457
188.42,4667
543.6,9259
4831.29,1101
1864.69,6331
4305.93,2504
1830.39,5020
1059.99,359
1871.13,1610
2438.76,8183
3654.82,1258
1522.98,8221
4459.19,4277
1633.2,4278
375.4,413
3024.3,4913
316.6,8670
4627.09,2575
558.6,4605
4668.53,5559
3644.67,2990
581.02,217
967.21,774
805.35,2646
2001.47,5768
1125.58,3216
3550.33,320
2433.72,6285
1267.92,5256
3221.24,4231
1284.07,6788
3153.55,4132
10.37,253
2247.44,328
2279.39,4841
4458.38,2739
4761.19,7953
763.67,4814
4041.94,9682
697.91,9917
1862.22,2632
3284.49,5726
4846,4938
2423.67,7810
2240.5,201
720.27,9862
1979.08,1417
2193.18,4950
4685.86,1911
2731.79,4473
2057.87,5449
408.74,3327
2820.37,783
3478.29,1860
4772.07,7642
1635.65,6041
1989.49,6475
1663.44,8450
4509.77,9427
2616.94,4605
1631.01,2256
2650.24,7897
4911.47,2391
4847.04,8415
3203.81,1656
1868.83,2919
4474.13,8489
1326.07,2775
2058.54,8965
2496.57,9611
1683.74,293
2735.89,5698
1733.57,3652
1366.5,4327
3686.79,7020
4037.36,6016
4026.98,8428
1516.18,8853
1238.01,2801
649.05,3328
1092.9,2657
82.26,4174
3034.33,9376
4736.6,9282
3336.59,3831
1441.42,1596
4217.63,3266
3212.64,6012
2202.75,7732
2471.42,8532
4612.53,1652
3023.08,3512
3960.54,2733
1875.5,4189
3102.21,5464
1020.42,4123
3102.21,6800
830.94,2490
92.22,5919
3091.78,5498
1452.7,6053
2600.67,1371
2734,8452
777.85,7002
3569.58,522
3271.86,1878
3534.51,9862
314.06,6413
2300.26,7706
3385.15,9034
696.11,647
1018.92,982
3203.79,6515
2555.57,8366
3118.52,4565
451.82,3779
4061.53,3459
4812.34,6413
2145.5,3730
4425.67,176
1690.95,9087
4385.84,5756
2696.61,2613
3770.06,8640
2095.68,6074
4770.92,3199
2010.88,9279
1626.02,222
3630.1,3362
1750.25,9995
3670.82,187
4669.44,1375
1651.7,8752
4910.41,1062
3962.66,6874
4482.89,1532
2539.97,7310
2433.47,1814
4864.25,5573
2745.03,7938
820.56,9461
1798.31,6811
223.13,9604
3989.56,7472
4761.35,5366
1138.04,9425
4955.73,7446
429.5,6413
3260.66,9325
3535.91,2890
4305.15,8821
1229.62,3234
4941.45,8669
4882.71,4024
1237.53,2715
3573.59,1678
1482.42,1656
3192.99,8224
1979.93,8715
970.86,432
1034.78,7901
810.73,8998
2622.52,242
3791.42,6849
257.34,4486
937.09,7338
3426.92,8809
1152.38,3663
2853.32,8567
4026,4975
3815.57,8044
3483.6,3095
3613.11,2360
1879.39,6751
2578.9,5601
2739.04,5774
3733.09,766
726.39,8822
2370.04,6289
978.38,3716
3191.2,4540
4297.7,7350
125.64,2702
841.94,6994
1539.4,4827
922.78,2779
593.33,4019
3307.86,9250
4694.91,4840
593.17,8638
3483.65,3163
4347.27,7431
1691.69,7554
3115.33,433
1493.64,1387
835.07,94
1200.16,1496
387.25,2871
4849.66,7943
227.12,5182
1905.69,219
1589.19,9467
3275.97,3419
4819.58,5855
3697.2,1994
1174.43,685
879.01,7522
2008.05,3219
1961.02,835
744.49,2325
1358.01,1955
1988.32,2679
3528.89,9262
3391.74,1416
500.21,2126
2157.9,1899
3726.36,4839
4754.75,9449
4023.81,5164
3510.72,2030
4994.9,2301
1268.6,4449
1336.45,9417
2429.42,3736
4236.46,4340
4988.04,4475
1382.7,9480
573.69,4818
2381.8,3179
4669.24,279
4526.67,2440
1406.32,4908
308.77,1801
1282.3,2885
4454.35,8215
1363.97,8780
3536.66,5846
1390.16,4734
3899.09,9233
1031.52,5384
4779.36,6534
600.34,7639
1237.48,3163
3995.52,8858
4070.55,1859
2033.27,28
1189.71,3495
1776.42,9890
871.36,2976
2376.7,9282
2506,5503
1747.61,3828
3902.97,9208
1040.19,1950
1307.88,2258
1667.72,5591
291.78,3528
3249.46,7529
2657.69,9669
3385.04,7737
1508.97,7999
1628.26,3179
883.66,7729
531.57,5204
971.5,1585
2991.89,1062
388.78,9093
2017.68,1796
3415.72,6255
2031.08,2559
4696.37,7238
4924.11,1884
3214.21,1657
2050.58,4069
3147.81,7412
4601.04,6344
4674.85,3387
4404.32,6845
4339.98,912
3555.64,4062
4213.08,2917
3864.77,2547
249.92,5692
4176.76,2583
4305.26,1900
4934.96,6094
1867.23,1598
4372.96,5366
4451.26,2120
2401.41,5243
56.35,9652
3492.2,4840
1116.39,8380
3667.28,3968
4184.08,7287
2007.91,4630
4121.3,6676
4641.82,245
2252.99,8125
4429.52,164
2098.06,5933
3122.65,7754
2640.07,8854
1058.86,2286
938.25,6293
4806.26,6414
2191.89,7074
1371.71,919
4446.34,1950
4879.95,5255
3642.81,1091
1987.76,4820
3678.25,151
575.33,6487
3127.3,1284
2049.74,9080
1543.12,9541
2560.18,8217
4859.57,760
1733.66,6537
1972.84,8870
888.95,2976
4317.2,2341
1752.77,4049
841.15,6339
3508.3,4733
573.98,8533
4968.89,4883
2552.28,6765
3908.26,4475
1243.52,6734
4716.44,7889
2779.86,2373
1569.9,8974
4939.42,5855
4019.23,8203
2109.94,6095
465.94,4542
4339.95,5206
2644.29,8793
2771.16,8345
74.14,7101
3972.39,5829
3929.25,3987
3478.61,3295
1712.89,396
4195.91,1322
1947.39,6506
123.9,958
3180.23,9374
4520.03,8916
460.63,4895
3661.13,7902
267.72,7299
4710.14,7329
1995.76,1562
488.34,2455
913.28,4242
3048.62,9989
2775.89,6128
396.94,3569
1670.88,3625
1612.45,2528
2608.17,8489
1113.77,6211
3950.07,599
2725.81,5090
3411.86,1698
2182.45,6852
3517.72,7948
2144.21,6356
3266.38,1556
3452.07,7475
599.44,5070
1602.53,853
1908.35,4446
4868.16,9431
4407.87,1531
2171.54,6709
1195.26,8951
1810.48,4823
4869.67,5742
1993.95,1935
4961.67,509
1403.6,7851
3327.78,3847
3179.23,5364
4844.73,7170
365.35,9114
4504.42,6073
1383.21,2406
2018.51,7180
1456.89,6940
2926.74,1956
1692.43,8902
4497.82,8479
4563.59,2785
1360.57,5288
1720.06,9411
619.29,2199
4305.25,5128
3694.78,6966
2981.05,514
1437.55,3889
2116.41,6738
4164.01,520
1370.18,2562
1540.77,6388
1649.04,3830
4020.99,3703
963.81,8366
4911.01,301
1414.15,7952
2372,5781
2192.76,9902
1201.44,6637
779.25,3282
1550.01,7288
2595.03,409
4921.45,8034
4862.98,4813
1711.14,7955
1977.36,9437
3062.74,2626
514.05,5741
1294.65,4035
4545.29,2199
2086.36,7694
709.66,104
3823.66,8602
3487.01,9720
2780.26,2714
3657.53,6794
4418.63,5197
4045.92,9671
2677.93,2799
4368.7,1817
4924.52,4432
1183.03,4802
3669.13,9727
3143.58,8067
1022.54,8207
2112.18,3980
233.27,2449
1864.59,9846
1300.95,5104
2260.77,1871
710.64,7752
68.81,9508
335.18,5189
3338.64,2309
4479.13,5989
3658.7,1999
4032.07,6712
4946,9514
3636.31,8268
4541.72,8760
2960.28,549
1991.21,1436
2149.56,5478
1098.8,7146
2483.91,2672
3712.85,4812
222.84,5510
3212.87,2819
85.54,9272
3262.17,1639
2058.09,5935
1110.21,7080
4833.95,8582
4009.85,6749
3910.69,2529
4076.62,4434
1734.56,344
1816.95,4411
619.52,475
4917.29,9188
4435.67,6772
4392.23,3583
2753.79,2838
2274.75,9069
1059.85,4487
1585.01,5170
2154.22,333
3366.04,371
3607.05,5361
1115.52,6911
4524.78,1003
1172.64,344
1602.25,3586
719.33,9455
4726.85,7272
602.01,2174
3971.77,8874
4857.63,8679
4185.33,597
3008.19,2770
2369.26,5894
1124.65,9083
3580.85,3467
2719.98,7945
4455.29,3758
1821.34,2526
4984.93,1404
3310.56,5645
1913.96,750
3665.54,9119
4857.78,1324
4819.98,7298
2780.03,4799
4369.63,4260
2896.67,6921
1764.69,9762
4500.69,4276
2817.96,4771
1132.5,3199
2850.23,2730
96.32,5391
2843.77,4185
1736.28,7694
2118.87,7411
2867.19,4013
3102.3,7781
4825.74,7730
3310.43,3867
4359.71,3285
8.18,6710
1530.38,4697
862.88,3621
3054.26,4897
4170.7,5559
960.17,1550
916.65,4765
4752.94,7463
1317.53,9097
2628.56,2699
1460.07,1419
2743.06,7217
3372.23,2785
4657.21,7787
4729.84,3403
195.08,7391
3934.06,391
3569.58,3032
1006.79,6389
1459.53,9858
480.5,2832
434.52,9036
2608.41,5974
3911.48,5881
221.25,8349
4426.48,8239
2536.75,3132
1684.17,9531
1246.26,8792
2191.94,6772
1323.85,3728
4744.16,3676
770.95,4822
1060.08,8445
473.69,221
4169.69,9534
4589.2,361
491.6,38
2462.62,1965
1204.86,6221
1614.38,5168
3213.61,5767
1516.13,1812
816.67,4142
1080.9,826
789.87,2199
4132.93,9486
2052.65,6029
1863.48,4244
1709.97,2646
143.84,1091
4779.01,6450
3849.66,3313
4311.01,4139
2954.99,4899
2211.67,8058
1201.02,330
3648.53,8338
3880.21,6209
3017.91,8173
2838.28,2581
1698.97,3320
1354.19,6105
119.58,1813
4402.87,3037
2446.81,636
476.47,734
4974.44,3102
1016.33,4206
1189.65,1714
3251.86,5937
609.96,1536
3812.55,5414
1089.8,2737
2985.52,5988
2193.63,1558
4385.29,3431
2006.81,802
1188.93,8087
1000.54,9133
3929.01,1368
4869.29,2055
929.47,1161
4409.66,3725
787.58,1051
537.11,2806
3567.85,3845
668.04,5945
899.77,2742
3831.73,5886
3168.98,9018
1596.57,3595
2571.59,4319
2868.89,9015
155.73,3247
618.81,2158
1504.76,925
2509.61,9906
1675.69,3808
2740.48,1485
79.12,8827
627.8,4641
2722.7,9050
2593.53,4207
2814.6,3016
1452.07,9513
3964.29,1646
4971.92,6232
3420.17,6802
3614.3,6544
1806.42,5811
2166.42,9359
2672.95,908
206,8718
3954.39,9866
699.25,2233
341.98,5614
1703.28,9915
3819.67,5222
4163.23,8984
2068.19,4345
1175.68,4787
1213.65,8388
3501.99,9715
2317.65,4990
1681.32,3830
1261.97,8898
2293.33,2579
86,2204
2974.39,4053
1190.33,7103
753.86,6483
1733.9,2043
1080.46,9058
1244.67,2610
2526.28,1080
155.6,5572
690.48,7750
4715.59,695
3693.68,5429
2386.4,1625
396.12,4755
3852.85,6496
2227.56,9449
3145.49,7114
1620.99,1892
4563.53,4855
1062.46,613
3532.25,3447
4323.92,9649
4479.66,8176
4859.94,9491
4696.93,7175
2151.34,9354
3818.42,3893
1182.8,1846
1007.56,8674
1281.5,2064
332.91,7694
3033.07,3284
2065,8935
618.26,4008
3333.6,3011
4818.91,8350
2274.58,7663
3994.19,7570
723.26,338
4891.51,9100
1951.37,1719
3400.64,6749
2165.97,427
4000.51,298
4075.1,807
319.11,624
4824.07,5684
836.98,6895
899.93,4530
3718.27,9642
1605.65,9621
4.03,3463
4912.26,5951
1791.17,9012
2919.8,9438
980.17,4823
4981.86,7060
2454.01,3206
3875.8,4967
4593.49,397
3363.78,3726
2008.52,2703
4191.21,2873
4540.19,4187
794.14,7880
1544.1,3545
4036.83,3984
1467.53,9879
172.88,2511
3999.97,1132
2848.44,9851
4151.79,4219
2329.64,129
2470.6,1495
817.29,2362
2025.75,8043
2894.32,9830
1964.43,2760
2608.35,2429
4269.14,6579
1458.27,439
2209.29,3800
455.56,8378
4311.31,1332
4631.21,9413
145.54,5690
4940.13,6598
4876.38,2079
2688.75,5218
4657.65,6668
4258.28,8481
4288.33,87
4615.5,708
749.5,4553
164.07,905
3911.47,345
4854,8
4563.52,2917
1312.35,9320
2153.96,4512
1165.63,202
3738.65,9512
4762.13,7974
1853.25,8854
3420.64,234
1570.16,4845
3719.92,8601
3732.32,578
4572.88,386
4849.26,1655
1342.42,6819
4764.45,2329
4552.75,3520
351.88,8467
1928.07,5597
4330.3,4014
4672.71,1431
751.31,9652
2841.36,9122
4589.8,4592
3904.84,3724
3016.29,9685
3327.05,1632
217.19,1160
3072.5,8934
2364.13,6650
1400.05,4650
4281.83,6885
585.53,6108
2403.31,5721
4539.64,191
835.48,6647
1845.08,1524
140.81,4728
888.26,6830
2504.57,2164
467.59,4617
3659.31,6613
2326.48,76
2673.54,4858
4290.4,8346
3357.91,7954
4126.75,2594
3856.74,5752
2516.28,5972
3918.06,2759
4627.33,3005
236.31,4748
1739.37,2111
4613.84,5252
2722.36,546
3345.95,7777
1206.47,1066
1593.06,6165
4997.08,6556
4987.79,1312
3742.65,7962
1485.95,8280
3426.21,9041
4275.09,2887
4743.38,16
3546.94,8590
326.82,325
52.95,6795
372.14,8251
2313.65,2684
1203.67,7091
1688.76,5508
3697.09,8129
1922.34,1201
448.34,115
3712.31,7497
1492.64,1396
3621.51,3447
2587.06,9314
377.75,5041
1275.84,4054
78.3,844
3541.14,7210
763.5,3057
2468.36,2945
2171.23,5355
3544.36,2282
4053.94,5213
342.18,3672
1627.88,2551
2976.56,4687
2565.63,3101
4026.67,1203
2288.88,8562
3094.47,3974
740.96,926
4007.47,5307
3331.13,8919
2096.77,1665
2451.55,5315
3433.73,8482
1324.88,8838
3809.6,4298
3842.08,8984
4651.3,456
3643.56,9524
674.44,7000
1961.47,9311
2804.64,4580
4956.81,2021
4641.22,7553
1024.22,7253
664.85,7299
2782.1,5559
816.3,5427
1218.76,2093
2583.1,6534
4050.28,1971
3387.18,4746
4025.03,9693
1940.82,2155
2169.22,8120
1561.1,1293
4408.85,9411
4356.6,6927
2850.47,5662
1285.89,508
1489.46,168
2708.67,5073
1241.55,1384
836.51,9665
1490.92,1252
1897.88,2019
2747.17,7196
2218.51,4225
1351.31,6026
1186.71,5065
2638.94,3928
1012.59,5308
216.04,4198
135.94,1977
2299.36,1919
530.98,5534
3917.87,4202
2521.87,6776
339.42,715
4418.02,4681
4044.02,4484
1582.57,6748
2298.5,2385
4779.29,4149
1312.82,7081
580.53,8572
4413.15,8873
2689.66,5966
4226.68,347
929.17,5880
4447.42,6323
4383.38,5095
2233.96,4196
3974.8,511
3188.39,3847
4729.46,5892
1437.81,5490
